Id,Name,City,State,Country,Latitude,Longitude,TotalInvoices,LastYearInvoices
"8714062a-9224-e411-a635-0026b9f9e50c","Wacom","Vancouver","WA","US","45.61082","-122.49474","620170.49","620170.49"
"eeae6c55-3da2-de11-8cc3-00101826f7f4","WellBiz Brands, Inc.","Highlands Ranch","CO","","39.55118","-104.99471","62515.00","2895.00"
"fc4c1ea8-d01c-4d84-ab8f-0103b8fc157d","Wells Fargo","San Francisco","CA","","37.79317","-122.40277","602110.79","602110.79"
"450b97f3-fcc7-db11-b5db-0003ff32d6e5","West Corporation","Omaha","NE","USA","41.26864","-96.09753","49820.55","0.00"
"c1daec4e-4771-e211-92f3-0026b9f9e50c","West Liberty Foods","West Liberty","Iowa","United States","41.57049","-91.26075","0.00","0.00"
"4ffa1798-56e1-db11-8eef-0003ff9e2b47","WHEELS INC","DES PLAINES","IL","USA","42.04102","-87.87608","36297.50","0.00"
"1081cea5-01dc-dc11-bd0d-00101826f7f4","Williams & Williams","Tulsa","OK","","36.15398","-95.99278","12782.52","0.00"
"88014316-6e31-dd11-8d4f-00101826f7f4","WITTENSTEIN Inc.","Bartlett","IL","","41.97781","-88.21606","214395.44","95.00"
"bfb8cb87-f0f8-db11-b46a-00101826f7f4","YRC Worldwide, Inc.","Overland Park","KS","USA","38.93029","-94.63974","420156.43","28810.00"
"31473030-3030-3031-4136-443434494146","ZenPayroll","San Francisco","CA","","37.78298","-122.39452","3500.00","0.00"
"02c98b39-18fc-dc11-a14f-00101826f7f4","Zondervan Corp","Grand Rapids","MI","USA","42.86774","-85.54378","677753.77","0.00"
